inat_id,date,latitude,longitude,positional_accuracy,scientific_name
3539304,2016-06-28,40.65393292,-89.13605495,17,Rudbeckia hirta
3539377,2016-06-24,29.552376,-98.743958,40,Rudbeckia hirta
3539984,2016-06-28,41.799826,-76.69939,12,Rudbeckia hirta
3540282,2016-06-28,41.38799284,-81.69539966,8,Rudbeckia hirta
3540866,2016-06-28,45.1207468473,-85.6350217481,5,Rudbeckia hirta
3541239,2016-06-28,40.2410815191,-83.0755513721,5,Rudbeckia hirta
3541982,2016-06-28,50.62771,-99.964817,10,Rudbeckia hirta
3563693,2016-06-29,42.902917,-88.51251,NA,Rudbeckia hirta
3564237,2016-06-29,42.929401,-88.46305,NA,Rudbeckia hirta
3564661,2016-06-29,42.931136,-88.4623069999,NA,Rudbeckia hirta
3572313,2016-06-08,33.5118484,-97.9206274,100,Rudbeckia hirta
3572969,2016-06-30,30.5687974108,-97.7530543132,89,Rudbeckia hirta
3573659,2016-06-25,35.045367,-88.732296,3,Rudbeckia hirta
3580871,2016-06-26,38.94913,-91.9901666667,25,Rudbeckia hirta
3581215,2016-06-29,45.1221403387,-85.6324714702,5,Rudbeckia hirta
3584276,2016-07-01,43.6337,-73.059575,NA,Rudbeckia hirta
3584607,2016-07-01,42.3955023755,-71.2765608542,5,Rudbeckia hirta
3590033,2016-07-02,36.8775478285,-80.2759529651,30,Rudbeckia hirta
3596662,2016-07-02,44.5426640773,-73.2819521427,9,Rudbeckia hirta
3597750,2016-07-02,48.4306632216,-92.8536253051,5,Rudbeckia hirta
3598207,2016-07-02,41.8826866667,-89.34427,NA,Rudbeckia hirta
3599035,2016-07-02,42.7683974896,-78.4931987711,10,Rudbeckia hirta
3605506,2016-07-01,44.46079,-67.934173,260,Rudbeckia hirta
3608419,2016-07-03,44.2649879273,-68.3393622379,65,Rudbeckia hirta
3615329,2016-07-03,43.6560308574,-90.6954155251,50,Rudbeckia hirta
3616057,2016-07-03,41.3545343746,-72.926052427,5,Rudbeckia hirta
3619803,2016-07-02,41.5802843625,-87.9503953457,60,Rudbeckia hirta
3621358,2016-07-04,45.4487820582,-75.659620463,8,Rudbeckia hirta
3621906,2016-07-10,38.8496666667,-79.4217777778,NA,Rudbeckia hirta
3626818,2016-07-05,32.5958348159,-97.5684302487,5,Rudbeckia hirta
3627822,2016-07-01,40.9342252185,-81.6376902976,NA,Rudbeckia hirta
3632294,2016-07-06,40.6312185411,-89.1521134291,1592,Rudbeckia hirta
3634251,2016-07-06,40.65834558,-89.11224954,7,Rudbeckia hirta
3634776,2016-06-29,38.9244883333,-77.283455,NA,Rudbeckia hirta
3636963,2016-07-02,43.1315916667,-89.4374305556,NA,Rudbeckia hirta
3637940,2016-07-07,41.4895004919,-90.6365695876,10,Rudbeckia hirta
3638598,2016-07-04,32.8841645832,-97.6416105067,NA,Rudbeckia hirta
3642649,2016-07-04,43.161465,-88.889048,NA,Rudbeckia hirta
3643276,2016-07-07,41.1590638333,-77.83023,NA,Rudbeckia hirta
3646416,2016-07-08,44.5418083333,-72.5245283333,NA,Rudbeckia hirta
3649054,2016-07-07,29.7906360626,-95.5964889526,NA,Rudbeckia hirta
3649526,2016-07-09,39.2141651921,-77.0828297362,30,Rudbeckia hirta pulcherrima
3649693,2016-07-09,41.8153041155,-87.9719672943,24,Rudbeckia hirta
3650762,2016-07-08,43.14152,-88.886957,NA,Rudbeckia hirta
3653673,2016-07-09,35.7935195345,-105.8107638245,325,Rudbeckia hirta
3655025,2016-07-10,43.8082492874,-72.2094601393,8,Rudbeckia hirta
3655472,2016-07-09,47.38596,-91.2415316667,NA,Rudbeckia hirta
3655924,2016-07-10,44.596275,-73.1789944444,NA,Rudbeckia hirta
3656782,2016-07-10,43.5401589922,-80.2153665572,5504,Rudbeckia hirta
3657222,2016-07-10,30.5552025903,-94.4210743904,15,Rudbeckia hirta
3657844,2016-06-30,43.852963,-72.588778,34,Rudbeckia hirta
3659493,2016-07-10,41.1134404131,-76.6407923867,5,Rudbeckia hirta
