#
# Transition date estimate for shiningrock
#
# Site: shiningrock
# Veg Type: DB
# ROI ID Number: 3000
# Aggregation period: 3day
# Year min: 2009
# Year max: 2019
# Final Processing Date: 2019-09-16
# Final Processing Time: 16:30:52
# Spline RMSE gcc_mean: 0.00743
# Spline RMSE gcc_50: 0.00789
# Spline RMSE gcc_75: 0.00651
# Spline RMSE gcc_90: 0.00636
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
shiningrock,DB,3000,falling,gcc_75,2009-10-16,2009-10-09,2009-09-26,2009-10-17,2009-10-10,2009-09-29,2009-10-13,2009-10-07,2009-09-08,0.33535,0.36191,0.41843,0.31805,0.51593
shiningrock,DB,3000,falling,gcc_50,2018-10-22,2018-10-15,2018-10-05,2018-10-24,2018-10-16,2018-10-07,2018-10-20,2018-10-14,2018-10-04,0.35392,0.38046,0.42777,0.33658,0.51423
shiningrock,DB,3000,falling,gcc_50,2017-10-27,2017-10-19,2017-10-02,2017-10-28,2017-10-21,2017-10-04,2017-10-24,2017-10-17,2017-09-30,0.35046,0.38127,0.43211,0.33285,0.52943
shiningrock,DB,3000,falling,gcc_50,2016-10-17,2016-10-12,2016-10-03,2016-10-18,2016-10-13,2016-10-06,2016-10-15,2016-10-10,2016-10-01,0.36485,0.39061,0.43221,0.35195,0.50859
shiningrock,DB,3000,falling,gcc_50,2015-10-25,2015-10-18,2015-10-07,2015-10-27,2015-10-19,2015-10-10,2015-10-22,2015-10-16,2015-10-06,0.34807,0.36729,0.41081,0.33465,0.48248
shiningrock,DB,3000,falling,gcc_50,2014-10-20,2014-10-12,2014-09-24,2014-10-25,2014-10-14,2014-09-26,2014-10-17,2014-10-09,2014-09-23,0.35426,0.382,0.42885,0.3378,0.51786
shiningrock,DB,3000,falling,gcc_50,2013-10-26,2013-10-20,2013-09-17,2013-10-27,2013-10-21,2013-09-20,2013-10-24,2013-10-17,2013-09-15,0.35765,0.38352,0.43588,0.34007,0.52898
shiningrock,DB,3000,falling,gcc_50,2012-10-24,2012-10-19,2012-09-23,2012-10-26,2012-10-20,2012-09-28,2012-10-22,2012-10-16,2012-09-20,0.36033,0.38571,0.43752,0.3418,0.53182
shiningrock,DB,3000,falling,gcc_50,2011-10-05,2011-09-24,2011-09-07,2011-10-08,2011-10-01,2011-09-10,2011-10-03,2011-09-17,2011-09-06,0.37449,0.40031,0.43939,0.36498,0.50646
shiningrock,DB,3000,falling,gcc_50,2010-10-19,2010-10-11,2010-09-17,2010-10-21,2010-10-13,2010-09-19,2010-10-16,2010-10-09,2010-09-16,0.34894,0.37807,0.42567,0.33226,0.51562
