#
# Transition date estimate for harvard
#
# Site: harvard
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2008
# Year max: 2019
# Final Processing Date: 2019-07-31
# Final Processing Time: 11:09:05
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00316
# Spline RMSE gcc_75: 0.00358
# Spline RMSE gcc_90: 0.00435
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
harvard,DB,1000,rising,gcc_mean,2018-05-02,2018-05-08,2018-05-14,2018-05-01,2018-05-07,2018-05-12,2018-05-05,2018-05-10,2018-05-15,0.37777,0.39296,0.42319,0.36964,0.46784
harvard,DB,1000,rising,gcc_mean,2019-05-05,2019-05-11,2019-05-18,2019-05-01,2019-05-10,2019-05-17,2019-05-08,2019-05-13,2019-05-19,0.38079,0.3932,0.42074,0.3713,0.46719
harvard,DB,1000,falling,gcc_90,2018-11-04,2018-10-31,2018-10-20,2018-11-05,2018-11-02,2018-10-24,2018-11-01,2018-10-28,2018-10-17,0.39521,0.40644,0.42803,0.39047,0.46331
harvard,DB,1000,falling,gcc_90,2017-11-04,2017-11-01,2017-10-23,2017-11-05,2017-11-02,2017-10-25,2017-11-02,2017-10-30,2017-10-21,0.38616,0.39785,0.42312,0.3785,0.46711
harvard,DB,1000,falling,gcc_90,2016-10-27,2016-10-24,2016-10-16,2016-10-28,2016-10-25,2016-10-18,2016-10-25,2016-10-22,2016-10-15,0.38901,0.39951,0.42561,0.38094,0.46497
harvard,DB,1000,falling,gcc_90,2015-10-28,2015-10-24,2015-10-17,2015-10-29,2015-10-25,2015-10-19,2015-10-26,2015-10-22,2015-10-15,0.38981,0.40164,0.42379,0.38365,0.46128
harvard,DB,1000,falling,gcc_90,2014-10-21,2014-10-18,2014-10-12,2014-10-22,2014-10-19,2014-10-14,2014-10-19,2014-10-16,2014-10-11,0.38361,0.3964,0.42101,0.37494,0.46579
harvard,DB,1000,falling,gcc_90,2013-10-19,2013-10-15,2013-10-06,2013-10-20,2013-10-16,2013-10-09,2013-10-17,2013-10-13,2013-10-02,0.38227,0.39664,0.42028,0.37608,0.46328
harvard,DB,1000,falling,gcc_90,2012-10-20,2012-10-15,2012-10-08,2012-10-21,2012-10-16,2012-10-10,2012-10-17,2012-10-13,2012-10-07,0.37872,0.39322,0.41758,0.37258,0.45966
harvard,DB,1000,falling,gcc_90,2011-10-28,2011-10-23,2011-10-11,2011-10-29,2011-10-24,2011-10-14,2011-10-25,2011-10-20,2011-10-08,0.38716,0.39922,0.42128,0.38136,0.4608
